;Seg;peña;web;;X;;Instagram;;Facebook;;Youtube;;TikTok;;Bluesky;;Feeberse;
69;646;Celta Integra;;;139;penacelta;305;pccifrandiaz;202;https://www.facebook.com/p/Pe%C3%B1a-Celtista-Fran-Diaz-Celta-Integra-100080966275126/;0;;0;;0;;0;
70;644;Sección Lamparón;;;329;seclamparon;183;seccion_lamparon;132;;0;;0;;0;;0;
71;631;Gudelj;;;0;xx no tiene;133;penaceltistagudelj;498;https://www.facebook.com/profile.php?id=100067109357742;0;;0;;0;;0;
72;623;Hordas Celestes;;;123;hordasc;0;xx no tiene;500;;0;;0;;0;;0;
73;612;Cutiense-Cuntis;;;0;xx no tiene;0;xx no tiene;612;https://www.facebook.com/profile.php?id=100080805420516;0;;0;;0;;0;
74;590;Rikitrí;;;0;xx no tiene;0;xx no tiene;590;https://www.facebook.com/p/RIKITRI-100064099415106;0;;0;;0;;0;
75;586;Europa Celta-Bruxelas;;;171;europa_celta;379;europa_celta;36;https://www.facebook.com/profile.php?id=61573742864023;0;;0;;0;;0;
76;581;Chicago 1970;;;26;1970chicago;0;xx no tiene;555;https://www.facebook.com/CeltaChicago1970/;0;;0;;0;;0;
77;554;New York;;;0;xx no tiene;554;nyccelta;0;;0;;0;;0;;0;
78;554;Natxo Insa;;;0;natxoceltista;0;xx no tiene;538;https://www.facebook.com/profile.php?id=100066574551302;16;https://www.youtube.com/@penanatxoinsa7989;0;;0;;0;
79;552;Rianxeira - Rianxo;;;1;prianxeira;51;rianxeiraceleste;500;;0;;0;;0;;0;
80;500;Canido;;;0;xx no tiene;0;xx no tiene;500;;0;;0;;0;;0;
81;500;Vlado Gudelj-A Rúa;;;0;xx no tiene;0;xx no tiene;500;;0;;0;;0;;0;
82;498;Pipotiño do Ribeiro;;;0;xx no tiene;0;xx no tiene;498;https://www.facebook.com/penaceltista.opipotino;0;;0;;0;;0;
83;495;Tallada Celeste-Xinzo;;;0;xx no tiene;0;xx no tiene;495;https://www.facebook.com/TalladaCelesteXinzoDeLimia;0;;0;;0;;0;
84;472;Troita Celeste;;;97;troitaceleste;326;troitaceleste;49;https://www.facebook.com/troitaceleste;0;;0;;0;;0;
85;442;Marexada Celeste;;;14;marexadaceleste;428;marexadaceleste;0;;0;;0;;0;;0;
86;346;Afouteza Nipón- Japón;;;334;afoutezanipon;0;xx no tiene;0;;12;https://www.youtube.com/@afouteza-nipon;0;;0;;0;
87;297;Sección Llionesa-León;;;246;seccionllionesa;51;seccion_llionesa;0;;0;;0;;0;;0;
88;291;O Pé-San Cibrao;;;0;xx no tiene;0;xx no tiene;291;;0;;0;;0;;0;
89;290;O Grove;;;0;xx no tiene;290;pceltistadogrove;0;;0;;0;;0;;0;
90;269;Arcade;;;0;xx no tiene;216;celtistasarcade;53;https://www.facebook.com/profile.php?id=61559743168890&locale=es_ES;0;;0;;0;;0;
91;266;Fran Cainzos-Cangas;;;0;xx no tiene;0;xx no tiene;266;https://www.facebook.com/p/Pe%C3%B1a-Celtista-Fran-Cainzos-100067831532437/;0;;0;;0;;0;
92;264;Condado Celeste-AsNeves;;;39;condadoceleste;225;condadoceleste_oficial;0;;0;;0;;0;;0;
93;255;Marusía-Moaña;OK;http://pcmarusia.blogspot.com/;255;pcmarusia;0;xx no tiene;0;;0;;0;;0;;0;
94;247;Castróns 1923-O Porriño;;;247;castrons1923;0;xx no tiene;0;;0;;0;;0;;0;
95;240;Doutor Cota-A Estrada;;;16;Doctor_Cota;224;dr_cota;0;;0;;0;;0;;0;
96;200;Tudense-Tui;;;200;pctudense;0;xx no tiene;0;;0;;0;;0;;0;
97;192;Latexo Celeste;;;87;latexoceleste;192;latexoceleste;0;;0;;0;;0;;0;
98;178;La Banda del Toto;;;0;xx no tiene;178;labandadeltoto.siempredetacon;0;;0;;0;;0;;0;
99;168;Mos;;;0;xx no tiene;168;penhaceltistamos;0;;0;;0;;0;;0;
100;152;Eibarzale-Eibar;;;0;xx no tiene;0;xx no tiene;152;;0;;0;;0;;0;
101;126;Celtiñas Arriacenses-Guadalajara;;;0;xx no tiene;0;xx no tiene;126;https://www.facebook.com/p/Celti%C3%B1as-Arriacenses-100069069413001/;0;;0;;0;;0;
102;120;Ambición Celeste;;;120;ambicionceleste;0;xx no tiene;0;;0;;0;;0;;0;
103;111;Canteira Celtista;;;111;cantceltista;0;xx no tiene;0;;0;;0;;0;;0;
104;69;Exiles 1873;;;69;1873exiles;0;xx no tiene;0;;0;;0;;0;;0;
105;48;Val miñor - Nigrán;;;48;penhaceltista;0;xx no tiene;0;;0;;0;;0;;0;
106;20;Os Viaductos-Redondela;;;0;xx no tiene;0;xx no tiene;20;;0;;0;;0;;0;
107;0;2023 Centenario-Pazos de Borbén;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
108;0;A Ría;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
109;0;Carballiño;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
110;0;Celtas de Andrade-Vilalba;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
111;0;Dani Abalo-Vilagarcía de Arousa;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
112;0;Escornabois-Caldas de Reis;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
113;0;Esmorga;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
114;0;Lexión Celeste;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
115;0;Madrid;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
116;0;Monforte;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
117;0;Noia;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
118;0;O Barco de Valdeorras;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
119;0;O Cruceiro;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
120;0;Os Tranquilos-Redondela;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
121;0;Ponteareas;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
122;0;Pontevedra;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
123;0;Ramallosa-Canido;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
124;0;Vicente-Moaña;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
125;0;Vilalba;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
126;0;Foz;;;0;xx no tiene;0;xx no tiene;0;;0;;0;;0;;0;
